um-atmos_grid_cu_halo_single_DALLRH m01s00i002
um-atmos_grid_t_DIAG m01s02i205
um-atmos_grid_t_DIAG m01s02i206
um-atmos_grid_t_DIAG m01s02i207
um-atmos_grid_t_DIAG m01s02i208
um-atmos_grid_t_DIAGAOT m01s02i295
um-atmos_grid_t_DIAGAOT m01s02i422
um-atmos_grid_t_DIAG m01s03i201
um-atmos_grid_t_DIAG m01s03i217
um-atmos_grid_cu_DPBLTH m01s03i219
um-atmos_grid_cv_DPBLTH m01s03i220
um-atmos_grid_t_DIAG m01s03i223
um-atmos_grid_t_DIAG m01s03i224
um-atmos_grid_uv_DIAG m01s03i225
um-atmos_grid_uv_DIAG m01s03i226
um-atmos_grid_uv_DIAG m01s03i227
um-atmos_grid_t_DIAG m01s03i228
um-atmos_grid_t_DIAG m01s03i231
um-atmos_grid_t_DIAG m01s03i232
um-atmos_grid_t_DIAG m01s03i234
um-atmos_grid_t_DIAG m01s03i235
um-atmos_grid_t_DIAG m01s03i236
um-atmos_grid_t_DIAG m01s03i237
um-atmos_grid_t_DIAG m01s03i245
um-atmos_grid_t_DIAG m01s03i258
um-atmos_grid_t_DIAG m01s03i261
um-atmos_grid_t_DTILE m01s03i287
um-atmos_grid_t_DIAG m01s03i293
um-atmos_grid_t_DIAG m01s03i296
um-atmos_grid_t_DIAG m01s03i297
um-atmos_grid_t_DIAG m01s03i298
um-atmos_grid_t_DIAG m01s03i304
um-atmos_grid_t_DIAG m01s03i305
um-atmos_grid_t_DIAG m01s03i306
um-atmos_grid_t_DIAG m01s03i307
um-atmos_grid_t_DIAG m01s03i308
um-atmos_grid_t_DIAG m01s03i309
um-atmos_grid_t_DIAG m01s03i310
um-atmos_grid_t_DTILE m01s03i317
um-atmos_grid_t_DTILE m01s03i321
um-atmos_grid_t_DTILE m01s03i331
um-atmos_grid_t_DIAG m01s03i332
um-atmos_grid_t_DIAG m01s03i340
um-atmos_grid_t_DIAG m01s03i353
um-atmos_grid_uv_DIAG m01s03i365
um-atmos_grid_uv_DIAG m01s03i366
um-atmos_grid_uv_DIAG m01s03i367
um-atmos_grid_cu_DIAG m01s03i370
um-atmos_grid_cv_DIAG m01s03i371
um-atmos_grid_cu_DIAG m01s03i392
um-atmos_grid_cv_DIAG m01s03i394
um-atmos_grid_t_DIAG m01s03i395
um-atmos_grid_t_DIAG m01s03i662
um-atmos_grid_t_DIAG m01s03i663
um-atmos_grid_t_DIAG m01s04i203
um-atmos_grid_t_DIAG m01s04i204
um-atmos_grid_t_DIAG m01s05i205
um-atmos_grid_t_DIAG m01s05i206
um-atmos_grid_t_D1TH m01s05i209
um-atmos_grid_t_DIAG m01s05i214
um-atmos_grid_t_DIAG m01s05i215
um-atmos_grid_t_DIAG m01s05i216
um-atmos_grid_t_DIAG m01s05i231
um-atmos_grid_t_DIAG m01s05i232
um-atmos_grid_t_D52TH m01s05i250
um-atmos_grid_t_D52RH m01s05i256
um-atmos_grid_t_D52RH m01s05i257
um-atmos_grid_t_DIAG m01s05i269
um-atmos_grid_t_DIAG m01s05i270
um-atmos_grid_t_DIAG m01s05i272
um-atmos_grid_t_DIAG m01s05i277
um-atmos_grid_t_DIAG m01s05i278
um-atmos_grid_t_DIAG m01s05i279
um-atmos_grid_t_D52TH m01s05i319
um-atmos_grid_t_D52TH m01s05i320
um-atmos_grid_t_D52TH m01s05i322
um-atmos_grid_t_D52TH m01s05i323
um-atmos_grid_cu_DNOGWTH m01s06i101
um-atmos_grid_cv_DNOGWTH m01s06i102
um-atmos_grid_cu_DNOGWTH m01s06i103
um-atmos_grid_cv_DNOGWTH m01s06i104
um-atmos_grid_cu_DNOGWRH m01s06i105
um-atmos_grid_cv_DNOGWRH m01s06i106
um-atmos_grid_uv_DP36CCM m01s06i111
um-atmos_grid_uv_DP36CCM m01s06i113
um-atmos_grid_uv_DP36CCM m01s06i115
um-atmos_grid_cu_DALLTH m01s06i201
um-atmos_grid_cu_DALLRH m01s06i207
um-atmos_grid_cv_DALLRH m01s06i208
um-atmos_grid_cu_DALLTH m01s06i223
um-atmos_grid_cv_DALLTH m01s06i224
um-atmos_grid_uv_DP36CCM m01s06i241
um-atmos_grid_uv_DP36CCM m01s06i247
um-atmos_grid_t_DIAG m01s08i023
um-atmos_grid_t_DIAG m01s08i208
um-atmos_grid_t_DIAG m01s08i209
um-atmos_grid_t_DSOIL m01s08i223
um-atmos_grid_t_DSOIL m01s08i225
um-atmos_grid_t_DSOIL m01s08i229
um-atmos_grid_t_DSOIL m01s08i230
um-atmos_grid_t_DIAG m01s08i231
um-atmos_grid_t_DIAG m01s08i233
um-atmos_grid_t_DIAG m01s08i234
um-atmos_grid_t_DIAG m01s08i235
um-atmos_grid_uv_DT330 m01s15i214
um-atmos_grid_uv_DIAG m01s15i215
um-atmos_grid_t_DP500 m01s16i202
um-atmos_grid_t_DIAG m01s16i222
um-atmos_grid_t_DALLTH m01s30i112
um-atmos_grid_t_DALLTH m01s30i114
um-atmos_grid_uv_DP17 m01s30i201
um-atmos_grid_uv_DP36CCM m01s30i201_3
um-atmos_grid_uv_DP500 m01s30i201_4
um-atmos_grid_uv_DP850200 m01s30i201_5
um-atmos_grid_uv_DPLEV7H m01s30i201_6
um-atmos_grid_uv_DP17 m01s30i202
um-atmos_grid_uv_DP36CCM m01s30i202_3
um-atmos_grid_uv_DP500 m01s30i202_4
um-atmos_grid_uv_DP850200 m01s30i202_5
um-atmos_grid_uv_DPLEV7H m01s30i202_6
um-atmos_grid_uv_DP17 m01s30i203
um-atmos_grid_uv_DP36CCM m01s30i203_2
um-atmos_grid_uv_DPLEV8H m01s30i203_3
um-atmos_grid_uv_DP17 m01s30i204
um-atmos_grid_uv_DP36CCM m01s30i204_3
um-atmos_grid_uv_DPLEV11H m01s30i204_4
um-atmos_grid_uv_DP17 m01s30i205
um-atmos_grid_uv_DP36CCM m01s30i205_3
um-atmos_grid_uv_DPLEV7H m01s30i205_4
um-atmos_grid_uv_DP17 m01s30i206
um-atmos_grid_uv_DP17 m01s30i207
um-atmos_grid_uv_DPLEV9H m01s30i207_3
um-atmos_grid_uv_DP17 m01s30i208
um-atmos_grid_uv_DP17 m01s30i211
um-atmos_grid_uv_DP17 m01s30i212
um-atmos_grid_uv_DP17 m01s30i214
um-atmos_grid_uv_DP17 m01s30i215
um-atmos_grid_uv_DP17 m01s30i218
um-atmos_grid_uv_DP17 m01s30i222
um-atmos_grid_uv_DP17 m01s30i224
um-atmos_grid_uv_DP17 m01s30i225
um-atmos_grid_uv_DP17 m01s30i228
um-atmos_grid_uv_DP17 m01s30i234
um-atmos_grid_uv_DP17 m01s30i235
um-atmos_grid_uv_DP17 m01s30i244
um-atmos_grid_uv_DP17 m01s30i248
um-atmos_grid_uv_DP17 m01s30i258
um-atmos_grid_uv_DP17 m01s30i288
um-atmos_grid_uv_DP17 m01s30i301
um-atmos_grid_uv_DP36CCM m01s30i301_3
um-atmos_grid_uv_DP6 m01s30i301_4
um-atmos_grid_uv_DP7LOW m01s30i301_5
um-atmos_grid_uv_DP850200 m01s30i301_6
um-atmos_grid_t_DIAG m01s30i402
um-atmos_grid_t_DIAG m01s30i403
um-atmos_grid_t_DIAG m01s30i404
um-atmos_grid_t_DIAG m01s30i405
um-atmos_grid_t_DIAG m01s30i406
um-atmos_grid_t_DIAG m01s30i407
um-atmos_grid_t_DIAG m01s30i408
um-atmos_grid_t_DIAG m01s30i419
um-atmos_grid_t_DIAG m01s30i420
um-atmos_grid_t_DIAG m01s30i421
um-atmos_grid_t_DIAG m01s30i428
um-atmos_grid_t_DIAG m01s30i429
um-atmos_grid_t_DIAG m01s30i431
